"Molecular_Feature","Aim_1_Brain_Finding","Aim_2_Blood_Finding","Biological_Narrative"
"STAT1 (IFN/JAK-STAT)","Top VIPER TF: NES=+7.23, padj=1.3e-10; cell-intrinsic LFC=+0.69","Measured in blood; LC vs NonLC p to report","IFN/STAT1 drives neuroinflammatory aging in brain and is active in Long COVID blood"
"RELA/NF-kB axis","RELA NES=+5.44, NFKB1 NES=+4.79; CXCL10/SOCS3/MMP9 upregulated","SERPINE1 significantly elevated (p=0.0002)","NF-kB inflammatory program bridges systemic inflammation to brain aging"
"SERPINE1 (PAI-1)","RELA regulon target; log2FC=+1.23 in COVID-19 brain","LongCOVID median=5.136 vs NonLC=4.062; p=0.0002","Single strongest blood-brain molecular bridge — RELA target elevated in both compartments"
"Cellular senescence (SenMayo)","Not directly measured in brain","SenMayo delta=+0.15 (trend, p=0.23); underpowered n","Trend toward senescence enrichment in LC PBMCs — underpowered but directionally consistent"
"SASP secretome","86.7% of bulk signal is composition-driven (gliosis)","SASP_Core delta=+0.14 (trend, p=0.11)","SASP effectors elevated in LC blood; same genes upregulated by RELA in postmortem brain"
"Immunosenescence (CD57/KLRG1)","Not directly measured","B3GAT1 delta=+0.852 (trend); CD27 loss delta=-0.435","Immunosenescence trend — CD57 gain, CD27 loss consistent with terminal T cell differentiation"
"T cell exhaustion (NR4A1/2)","Not directly measured","NR4A1 delta=+0.672, NR4A2 delta=+0.539 (trends)","NR4A1/2 elevation suggests exhaustion program activation in Long COVID T cells"
"Neuronal loss","Neuronal score delta=-0.168 (padj<0.001, BRETIGEA)","PBMC signal upstream — SASP drives neuroinflammation","Peripheral immune aging (SASP/inflammaging) proposed as upstream driver of neuronal loss"
"NR2F1 (synaptic TF)","NES=-4.09; BEGAIN/LINGO1/KIF21B suppressed","Peripheral synaptic gene correlation with senescence","Synaptic suppression in brain mirrors cognitive decline pathway"
"Cell-intrinsic GRIN3A","Cell-intrinsic LFC=-0.55 (padj<0.001)","Peripheral NMDAR axis not directly tested","Cell-intrinsic neuronal NMDA suppression — potential cognitive correlate"
